NAMELSAD,"Overall Disadvantaged (0 = no, 1 = yes)",Total Disadvantaged Score,Stops Per 1000 People,Stops Percentile Score,>30 Min Commute Percent,Commute Percentile Score,Percentage of occupied housing units with no vehicles available,No Vehicle Percentile Score,Percentage of the population 65 years and older,Age Percentile Score,Percentage of the population without health insurance coverage,Insurance Percentile Score,Percentage of the population with a disability,Disability Percentile Score,% Of Homes Built Before 1960 (Lead Paint),Lead Paint Percentile Score,EJ Index for Diesel Particulate Matter (2017),Diesel Particulate Matter Percentile Score,EJ Index for 2017 Air Toxics Cancer Risk,Air Toxic Cancer Percentile Score,EJ Index for Traffic Proximity,Traffic Proximity Percentile Score,EJ Index for Particulate Matter 2.5,Particulate Matter 2.5 Percentile Score,EJ Index for Ozone,Ozone Level Percentile Score,Percentage of population over age 25 without a high school diploma (including GED),High School Education Percentile Score,Percentage of Occupied Housing Units not by Property Owner,Renter Percentile Score,Percentage of the labor force unemployed,Unemployment Percentile Score,Gini Index of income inequality (income distribution across a population),GINI Index Percentile Score,% Low Income,Low Income Percentile Score,Percentage of Persons Below 150% Poverty Estimate (Federal Poverty Level),Federal Poverty Percentile Score,"Percentage of housing cost burdened occupied housing units with annual income less than $75,000 (30%+ of incomespent on housing costs)",Housing Burden Percentile Score,Expected Annual Loss - Score - Composite,Expected Annual Loss Percentile Score,Percentage of limited English-speaking households,Linguistic Isolation Percentile Score
Census Tract 70.90,1,4,1.750291715,0.859550562,0.336,0.365168539,1.74717369,0.140449438,9.743290548,0.438202247,21.17852975,0.93258427,6.592765461,0.247191011,0.033915725,0.185393258,34.25320887,0.685393258,39.66161027,0.752808989,36.05600933,0.808988764,37.40810968,0.775280899,16.2252042,0.758426966,8.191403082,0.612359551,56.83453237,0.561797753,0,0,0.5157,0.882022472,0.353558926,0.724719101,27.9,0.786516854,49.5,0.960674157,3.848321864,0,7.605344296,0.808988764
Census Tract 70.91,1,4,6.466784245,0.157303371,0.469,0.842696629,11.56178923,0.662921348,76.69018225,0.994382022,2.175191064,0.112359551,29.04174015,0.988764045,0.205974297,0.337078652,16.86654909,0.258426966,19.52968842,0.342696629,13.31569665,0.235955056,18.42004703,0.398876404,7.989417989,0.348314607,1.675485009,0.207865169,22.75095519,0.140449438,7.81938326,0.904494382,0.4422,0.505617978,0.34244562,0.702247191,18.2,0.550561798,43.6,0.876404494,19.8863236,0.162921348,3.070507961,0.58988764
Census Tract 83.04,1,5,1.220107369,0.921348315,0.506,0.876404494,0.8168028,0.073033708,10.27330405,0.494382022,26.64054848,0.97752809,13.98139079,0.859550562,0.160633484,0.297752809,54.6885798,0.893258427,61.69993618,0.943820225,37.86132447,0.837078652,65.90675001,0.983146067,14.02271277,0.657303371,36.73388691,0.966292135,40.04524887,0.325842697,1.982378855,0.252808989,0.484,0.752808989,0.502564103,0.93258427,19.1,0.56741573,35.9,0.696629213,11.29248186,0.016853933,9.334889148,0.865168539
Census Tract 83.05,1,5,1.567671137,0.898876404,0.524,0.91011236,4.549950544,0.353932584,6.218428845,0.185393258,22.57446438,0.949438202,9.841491029,0.550561798,0.103883495,0.280898876,55.22450949,0.904494382,63.94416888,0.95505618,33.42536101,0.758426966,67.57736029,0.988764045,14.53276565,0.702247191,29.5379538,0.91011236,39.80582524,0.308988764,10.69651741,0.97752809,0.3984,0.275280899,0.55151729,0.966292135,39,0.943820225,39,0.792134831,12.29654508,0.028089888,4.846686449,0.719101124
Census Tract 83.06,1,5,2.958996759,0.58988764,0.51,0.893258427,10.42780749,0.601123596,10.18740313,0.488764045,21.18811881,0.938202247,8.783592645,0.466292135,0.035435122,0.196629213,55.75377872,0.915730337,61.32915659,0.938202247,27.87688936,0.623595506,64.81376776,0.97752809,13.93844468,0.651685393,32.0845341,0.938202247,48.04585722,0.460674157,10.0466563,0.95505618,0.3932,0.252808989,0.481628038,0.91011236,31.5,0.865168539,44.9,0.904494382,27.95875708,0.353932584,15.34759358,0.966292135
Census Tract 83.12,1,6,2.805986104,0.623595506,0.451,0.803370787,8.077099587,0.505617978,7.870122929,0.320224719,17.09470305,0.876404494,10.71428571,0.634831461,0.027990971,0.157303371,54.32954624,0.887640449,56.24705964,0.898876404,60.08208643,0.960674157,58.16457304,0.960674157,14.06176491,0.668539326,23.63106392,0.853932584,46.00451467,0.421348315,6.8861523,0.825842697,0.3489,0.08988764,0.395659207,0.831460674,14.4,0.421348315,41.1,0.853932584,50.44977335,0.797752809,6.241395135,0.792134831
Census Tract 83.86,1,4,3.488610712,0.449438202,0.444,0.780898876,2.707423581,0.202247191,6.73096655,0.213483146,16.88898009,0.870786517,9.234557767,0.5,0.006113537,0.073033708,49.40070091,0.842696629,57.96348907,0.915730337,24.37101245,0.54494382,60.59819312,0.966292135,13.17352024,0.629213483,36.04737232,0.95505618,33.97379913,0.235955056,5.429292929,0.730337079,0.3448,0.06741573,0.384046053,0.803370787,30.2,0.842696629,36.3,0.713483146,22.53211828,0.230337079,5.327510917,0.741573034
Census Tract 83.88,1,4,2.889414237,0.612359551,0.457,0.808988764,0.78023407,0.061797753,3.712459504,0.061797753,13.18497669,0.780898876,5.770076524,0.191011236,0.005501375,0.06741573,40.20554242,0.758426966,47.17450311,0.808988764,23.58725155,0.533707865,48.24665091,0.876404494,10.72147798,0.516853933,20.49756625,0.814606742,47.56189047,0.449438202,5.000737572,0.691011236,0.3914,0.247191011,0.273005866,0.58988764,18,0.533707865,32.7,0.54494382,71.78875919,0.966292135,6.579973992,0.803370787
Census Tract 83.89,1,4,3.21107464,0.516853933,0.535,0.938202247,0.905218317,0.078651685,8.455829884,0.370786517,13.93636039,0.825842697,9.224168752,0.494382022,0.009392121,0.078651685,28.79943291,0.54494382,29.97491997,0.612359551,14.69358822,0.308988764,49.95819995,0.893258427,11.16712705,0.539325843,13.25086238,0.724719101,16.6971041,0.04494382,9.65758211,0.938202247,0.3289,0.039325843,0.344817727,0.713483146,8.6,0.174157303,33,0.561797753,73.32597412,0.971910112,3.674121406,0.651685393
Census Tract 83.90,1,4,1.91448628,0.825842697,0.563,0.960674157,4.237918216,0.331460674,7.147415444,0.269662921,12.06126356,0.769662921,10.16804935,0.578651685,0.03372434,0.179775281,29.77345246,0.578651685,25.30743459,0.488764045,13.89427781,0.264044944,42.17905765,0.831460674,9.924484152,0.47752809,14.37168142,0.747191011,27.93255132,0.168539326,1.942663146,0.224719101,0.3276,0.033707865,0.203467347,0.376404494,14.5,0.426966292,28.7,0.415730337,52.75970594,0.820224719,4.460966543,0.696629213
